PS Power, PL Power, MGT Power, Total Power
 0.015, 0.902, 0.000, 0.916
 0.014, 1.020, 0.000, 1.034
 0.015, 0.559, 0.000, 0.574
 0.012, 1.205, 0.000, 1.217
 0.012, 1.208, 0.000, 1.220
 0.014, 0.894, 0.000, 0.909
 0.012, 1.250, 0.000, 1.262
 0.010, 0.133, 0.000, 0.144
 0.010, 0.131, 0.000, 0.142
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.128, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.011, 0.120, 0.000, 0.131
 0.010, 0.119, 0.000, 0.130
 0.011, 0.119, 0.000, 0.130
 0.011, 0.119, 0.000, 0.130
 0.011, 0.119, 0.000, 0.129
 0.012, 0.858, 0.000, 0.870
 0.014, 0.483, 0.000, 0.497
 0.012, 1.130, 0.000, 1.142
 0.012, 1.252, 0.000, 1.264
 0.015, 0.854, 0.000, 0.869
 0.012, 1.122, 0.000, 1.134
 0.012, 1.074, 0.000, 1.087
 0.011, 1.304, 0.000, 1.315
 0.012, 0.926, 0.000, 0.938
 0.012, 1.309, 0.000, 1.321
 0.012, 1.269, 0.000, 1.280
 0.012, 0.892, 0.000, 0.904
 0.012, 1.186, 0.000, 1.198
 0.012, 0.776, 0.000, 0.788
 0.012, 1.411, 0.000, 1.422
 0.012, 1.156, 0.000, 1.168
 0.015, 0.774, 0.000, 0.789
 0.012, 0.989, 0.000, 1.001
 0.012, 1.155, 0.000, 1.167
 0.015, 0.805, 0.000, 0.819
 0.012, 1.017, 0.000, 1.029
 0.012, 1.267, 0.000, 1.279
 0.012, 1.258, 0.000, 1.270
 0.012, 1.115, 0.000, 1.127
 0.012, 1.137, 0.000, 1.149
 0.014, 0.736, 0.000, 0.750
 0.012, 1.222, 0.000, 1.235
 0.014, 0.885, 0.000, 0.899
 0.011, 1.215, 0.000, 1.226
 0.015, 0.768, 0.000, 0.782
 0.010, 0.133, 0.000, 0.144
 0.010, 0.131, 0.000, 0.142
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.128, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.011, 0.120, 0.000, 0.131
 0.011, 0.119, 0.000, 0.130
 0.011, 0.119, 0.000, 0.130
 0.011, 0.119, 0.000, 0.130
 0.009, 0.119, 0.000, 0.127
 0.011, 0.118, 0.000, 0.129
 0.014, 0.620, 0.000, 0.634
 0.012, 1.014, 0.000, 1.026
 0.014, 0.663, 0.000, 0.677
 0.011, 1.266, 0.000, 1.277
 0.012, 1.118, 0.000, 1.130
 0.012, 0.807, 0.000, 0.819
 0.012, 0.978, 0.000, 0.990
 0.012, 1.019, 0.000, 1.030
 0.012, 1.161, 0.000, 1.173
 0.011, 1.212, 0.000, 1.223
 0.012, 0.940, 0.000, 0.952
 0.012, 0.858, 0.000, 0.870
 0.015, 0.959, 0.000, 0.974
 0.015, 0.731, 0.000, 0.746
 0.015, 0.654, 0.000, 0.669
 0.012, 0.692, 0.000, 0.704
 0.012, 1.155, 0.000, 1.167
 0.015, 0.774, 0.000, 0.789
 0.015, 0.847, 0.000, 0.861
 0.015, 0.730, 0.000, 0.745
 0.015, 0.764, 0.000, 0.779
 0.015, 0.517, 0.000, 0.532
 0.012, 1.167, 0.000, 1.179
 0.011, 1.256, 0.000, 1.267
 0.012, 1.107, 0.000, 1.120
 0.015, 0.622, 0.000, 0.637
 0.012, 0.810, 0.000, 0.821
 0.015, 0.664, 0.000, 0.679
 0.014, 1.158, 0.000, 1.172
 0.009, 0.454, 0.000, 0.463
 0.010, 0.132, 0.000, 0.142
 0.010, 0.131, 0.000, 0.141
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.129, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.010, 0.120, 0.000, 0.130
 0.010, 0.119, 0.000, 0.130
 0.015, 0.119, 0.000, 0.134
 0.008, 0.401, 0.000, 0.409
 0.008, 0.393, 0.000, 0.402
 0.011, 0.392, 0.000, 0.403
 0.009, 0.403, 0.000, 0.412
 0.009, 0.183, 0.000, 0.192
 0.009, 0.421, 0.000, 0.430
 0.009, 0.367, 0.000, 0.376
 0.009, 0.206, 0.000, 0.215
 0.008, 0.406, 0.000, 0.414
 0.008, 0.422, 0.000, 0.430
 0.011, 0.339, 0.000, 0.350
 0.008, 0.399, 0.000, 0.408
 0.008, 0.397, 0.000, 0.405
 0.009, 0.393, 0.000, 0.403
 0.009, 0.394, 0.000, 0.403
 0.008, 0.395, 0.000, 0.403
 0.009, 0.375, 0.000, 0.384
 0.009, 0.396, 0.000, 0.404
 0.008, 0.227, 0.000, 0.236
 0.008, 0.425, 0.000, 0.433
 0.008, 0.432, 0.000, 0.441
 0.011, 0.289, 0.000, 0.299
 0.008, 0.404, 0.000, 0.413
 0.008, 0.424, 0.000, 0.433
 0.011, 0.396, 0.000, 0.407
 0.008, 0.398, 0.000, 0.406
 0.008, 0.399, 0.000, 0.407
 0.009, 0.392, 0.000, 0.401
 0.009, 0.403, 0.000, 0.411
